Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Abilene,01/01/2019,35,26.9,29.2,15.8,,0,0,0,17.2,40.67,28.8,8.3,100,84.73,Overcast
Abilene,01/02/2019,29.4,26.7,27.9,16.1,,0.05,0,0,12.7,208.67,16.1,4.4,97.1,92.53,"Rain, Overcast"
Abilene,01/03/2019,43,29.7,34.5,22.1,,0.27,0,0,13.1,281.88,,7.2,71.4,86.41,"Rain, Partially cloudy"
Abilene,01/04/2019,63.5,30,44.3,23.9,,0,0,0,9.3,255,,9.9,4.3,62.33,Clear
Abilene,01/05/2019,70,37.5,51.8,32.1,,0,0,0,12,186.21,,9.9,0,50.27,Clear
Abilene,01/06/2019,69.6,50.5,59,,,0,0,0,23.5,181.58,34.8,9.9,17.8,64.44,Clear
Abilene,01/07/2019,67.5,49.7,59.8,46.3,,0,0,0,17.6,238.33,28.9,9.9,20,52.94,Clear
Abilene,01/08/2019,59.9,44.2,51,41.1,,0,0,0,16.9,115.46,30,9.9,5.3,51.85,Clear
Abilene,01/09/2019,54.9,41,46.4,37.1,,0,0,0,10.4,91.13,,9.9,26.1,47.28,Partially cloudy
Abilene,01/10/2019,59.8,47,51.6,42.7,,0,0,0,17.3,162.58,26.3,9.9,61.5,49.23,Partially cloudy
Abilene,01/11/2019,55.8,46.8,52,40.6,,0.49,0,0,18,188.38,30,9.1,73.2,84.08,"Rain, Partially cloudy"
Abilene,01/12/2019,48.4,37.3,43.2,31.2,,0,0,0,26.2,283.08,37.8,9.9,29.4,73.31,Partially cloudy
Abilene,01/13/2019,36.1,29.8,33.4,22.4,,0,0,0,11.4,142,,8.6,68.5,89.13,Partially cloudy
Abilene,01/14/2019,45.2,34,38.6,29.4,,0,0,0,8.5,155.42,,9.3,95.9,81.55,Overcast
Abilene,01/15/2019,50.2,43.8,46.1,38.9,,0,0,0,14.7,196.08,19.7,9.7,78,79.06,Overcast
Abilene,01/16/2019,61.1,44.7,51.5,37.8,,0,0,0,17.5,198.5,25.3,8.8,48.5,82.31,Partially cloudy
Abilene,01/17/2019,62,41.5,51.9,36.5,,0,0,0,11.1,188.54,19.7,9.9,3.4,65.7,Clear
Abilene,01/18/2019,75.8,45.6,59.8,36.4,,0.02,0,0,35.5,211.29,51,9.9,13.7,50.73,Rain
Abilene,01/19/2019,48.8,33.7,40.8,23.5,,0,0,0,35.4,273.88,43.8,9.9,30.5,57.3,Partially cloudy
Abilene,01/20/2019,58.5,25.6,41.3,18.8,,0,0,0,14.6,164.33,24.2,9.9,1,56.05,Clear
Abilene,01/21/2019,66.6,43.9,53.7,35.8,,0,0,0,31.4,178.38,40.8,9.9,0.3,46.63,Clear
Abilene,01/22/2019,61.3,35.9,50.7,23.1,,0,0,0,30.9,257.13,44.2,9.9,45.5,64.27,Partially cloudy
Abilene,01/23/2019,51.1,25.5,37.3,16.9,,0,0,0,25.9,283.33,37.9,9.9,0.6,48.92,Clear
Abilene,01/24/2019,56.8,35.4,44.6,28.8,,0,0,0,18.3,178.29,23,9.9,0,45.21,Clear
Abilene,01/25/2019,51.4,25.2,37.4,20.6,,0,0,0,9.9,122.83,,9.2,0,70.02,Clear
Abilene,01/26/2019,58.5,26,42.5,21.5,,0.02,0,0,9.4,149.83,24.2,9.2,13.3,65.87,Rain
Abilene,01/27/2019,60.3,34.8,46.6,31,,0.41,0,0,12.3,250.29,,9.7,6.6,58.25,Rain
Abilene,01/28/2019,56,38.5,48.4,31.7,,0,0,0,30,112.79,42.8,9.9,14.2,41.41,Clear
Abilene,01/29/2019,46.2,23.4,36.8,16.5,,0,0,0,10.3,171.83,16.1,9.9,11.1,50.49,Clear
Abilene,01/30/2019,54.9,37.2,43.4,30.4,,0,0,0,18,161.58,25.1,9.9,25.3,46.88,Partially cloudy
Abilene,01/31/2019,66.8,43.9,53.2,37.3,,0,0,0,21.2,184.67,31.1,9.9,44.8,48.36,Partially cloudy
Abilene,02/01/2019,64.8,52.7,57.6,,,0,0,0,17.7,176.21,27.7,9.9,62.2,77.66,Partially cloudy
Abilene,02/02/2019,70.6,55.9,60.7,,,0,0,0,16.9,176.83,26.4,9.9,58.1,75.14,Partially cloudy
Abilene,02/03/2019,73.3,54.9,63,,,0,0,0,21.3,193.83,30,9.5,11.6,68.52,Clear
Abilene,02/04/2019,77.8,54.2,64.5,,,0,0,0,15.4,210.17,17.2,9,2.1,65.35,Clear
Abilene,02/05/2019,76.8,55.6,64.1,,,0,0,0,16.7,173.38,28.9,8.6,26.5,73.07,Partially cloudy
Abilene,02/06/2019,74.7,61.8,67.6,,,3.2,0,0,21.9,186.42,34.4,7.6,45.5,73.76,"Rain, Partially cloudy"
Abilene,02/07/2019,66.1,29,42.8,22.6,,1.07,0,0,20.8,186.38,29.2,9.6,38.3,65.83,"Rain, Partially cloudy"
Abilene,02/08/2019,34.9,21.8,29,11.1,,0,0,0,10.3,63.33,20.8,9.9,43,55.76,Partially cloudy
Abilene,02/09/2019,38.2,33.1,35.6,25.5,,0,0,0,15.9,120.88,21.9,9.9,90.1,62.24,Overcast
Abilene,02/10/2019,47.9,35.9,42.6,29.6,,0.04,0,0,13.3,161.33,18.3,8.4,94.3,89.31,"Rain, Overcast"
Abilene,02/11/2019,54.1,47.9,50.7,42.5,,0.69,0,0,18.7,199.96,32.2,9.6,64.9,82.1,"Rain, Partially cloudy"
Abilene,02/12/2019,57.2,34.6,45.8,27.8,,2.37,0,0,20.1,210.54,29.8,9.9,0,49.91,Rain
Abilene,02/13/2019,63.8,37.1,51.5,32.3,,0,0,0,24,185.04,34.9,9.9,8,40.76,Clear
Abilene,02/14/2019,82.1,53.7,65.1,,79.9,0,0,0,24.8,213.13,38.1,9.9,11.1,31.97,Clear
Abilene,02/15/2019,74.9,37.8,58.2,31.3,,0,0,0,16,138.29,32.2,9.9,10.1,50.26,Clear
Abilene,02/16/2019,67.6,28.8,43.6,20.3,,0,0,0,16.4,115.25,30,9.4,31.1,65.5,Partially cloudy
Abilene,02/17/2019,54.1,30.6,43.8,22.4,,0,0,0,18.3,179.38,31.4,9.5,8.3,53.79,Clear
Abilene,02/18/2019,39.4,31.4,35.1,23.1,,0,0,0,13.6,46.83,26.4,9.9,8.9,60.64,Clear
Abilene,02/19/2019,35.4,32.8,34.1,24.9,,0,0,0,12.1,116.67,19.7,8.3,93.6,73.81,Overcast
Abilene,02/20/2019,56.8,27.3,42.7,20.4,,0,0,0,13.2,216.08,19.7,9.2,40.2,53.91,Partially cloudy
Abilene,02/21/2019,57.7,42.5,49.3,37.6,,0,0,0,22,130.25,32.2,9.9,33.9,47.19,Partially cloudy
Abilene,02/22/2019,55.7,45,49.6,39.4,,0,0,0,16.2,111.08,19.7,6.5,97.4,87.27,Overcast
Abilene,02/23/2019,64.8,42.2,55.1,40.9,,0,0,0,32.1,234.13,47.2,8.2,24.7,44.2,Clear
Abilene,02/24/2019,59.8,28.7,44,27.7,,0,0,0,13.9,187.04,17.2,9.9,0.3,46.8,Clear
Abilene,02/25/2019,66.8,38.4,51.8,31.8,,0,0,0,25.3,153.88,34.4,9.9,3,42.57,Clear
Abilene,02/26/2019,74.2,51.2,60.7,,,0,0,0,17.6,181.46,27.7,9.9,23.8,68.79,Clear
Abilene,02/27/2019,59.9,29,45.3,18.9,,0,0,0,19.3,164.42,21.9,7.8,55.2,87.88,Partially cloudy
Abilene,02/28/2019,43.3,26.8,34.1,16.8,,0,0,0,11.8,109,,7.4,91.8,75.1,Overcast
Abilene,03/01/2019,65.3,38,48.7,32.5,,0,0,0,11,129.92,,6,64.5,84.38,Partially cloudy
Abilene,03/02/2019,43.7,35.8,38,29.7,,0.51,0,0,14.6,58.42,20.8,2.9,97.3,92.54,"Rain, Overcast"
Abilene,03/03/2019,36.8,24.3,32.6,11.9,,0.82,0,0,20.2,31.08,29.2,6.8,69.5,76.75,"Rain, Partially cloudy"
Abilene,03/04/2019,29.9,19,23.1,4.9,,0,0,0,18,45.71,24.1,9.9,61.1,53.99,Partially cloudy
Abilene,03/05/2019,43.9,17.3,30.4,21.4,,0.25,0,0,12.8,134.13,20.8,9.9,4.2,50.61,Rain
Abilene,03/06/2019,56.8,24.4,41.3,17.1,,0,0,0,22,161.96,37.2,9.9,3,45.33,Clear
Abilene,03/07/2019,68.5,45,57.7,37,,0,0,0,23.4,190.17,38.1,9.9,6.4,42.11,Clear
Abilene,03/08/2019,75.7,59,66.8,,,0,0,0,25.4,173.29,35.9,9.9,9.4,52.08,Clear
Abilene,03/09/2019,74.8,54.7,63.8,,,0.27,0,0,23.4,233.38,37.7,9.8,15.3,40.28,Rain
Abilene,03/10/2019,53.7,42.7,47.8,37.4,,0.21,0,0,15.9,107.08,18.3,9.5,68.7,71.27,"Rain, Partially cloudy"
Abilene,03/11/2019,54.3,42.5,48.6,36.8,,0,0,0,10.3,164.92,,7.3,96.7,87.05,Overcast
Abilene,03/12/2019,72,52.8,61.5,,,0,0,0,36.6,145.71,48.5,6.4,70.8,85.39,Partially cloudy
Abilene,03/13/2019,73.1,50.1,62,,,0.42,0,0,38,238.5,52.9,8.7,31.2,51.37,"Rain, Partially cloudy"
Abilene,03/14/2019,63,43.2,54.7,39.5,,0,0,0,20.8,263.63,38,9.5,12,38.49,Clear
Abilene,03/15/2019,58.2,35,46.4,29.9,,0,0,0,21.8,59.96,28.8,9.9,1,43.9,Clear
Abilene,03/16/2019,59.9,35.6,48,31.7,,0,0,0,11.4,104.21,16.1,9.9,16.3,43.22,Clear
Abilene,03/17/2019,64.6,37.1,52.2,36.2,,0,0,0,6.9,102.08,,9.9,14.2,40.5,Clear
Abilene,03/18/2019,66.5,40.4,53.2,37.4,,0,0,0,12,135.33,17.2,9.9,2.9,43.56,Clear
Abilene,03/19/2019,67.9,45.1,56.2,41,,0,0,0,18.3,172.71,23,9.9,19.7,41.98,Clear
Abilene,03/20/2019,64.7,46.6,54.4,43.2,,0,0,0,15.3,129.71,23,9.9,31.9,59.48,Partially cloudy
Abilene,03/21/2019,73.2,40.2,57,35.6,,0,0,0,9.9,189.33,,9.9,6.5,48.5,Clear
Abilene,03/22/2019,73,49.7,61.6,47.4,,0,0,0,22.8,147.54,31.6,9.9,30.1,54.23,Partially cloudy
Abilene,03/23/2019,78,56.8,67,,,0,0,0,19.7,198.08,31.1,9.9,25.1,54.26,Partially cloudy
Abilene,03/24/2019,83.8,58.9,68.7,,81.4,0,0,0,21.3,170.96,28.5,9.9,6.1,61.15,Clear
Abilene,03/25/2019,71.5,47.4,59.7,44.7,,0,0,0,13.1,120.92,18.4,9.9,0,63.94,Clear
Abilene,03/26/2019,73.8,44.8,59.8,45.9,,0,0,0,14.3,101.54,19.7,9.9,0,60.17,Clear
Abilene,03/27/2019,77.7,53.1,65.5,,,0,0,0,24,165.21,32.6,9.9,1.5,60.12,Clear
Abilene,03/28/2019,76,59.9,67.4,,,0,0,0,23.6,177.71,33.1,9.9,34.1,66.91,Partially cloudy
Abilene,03/29/2019,82.2,60.2,69.3,,81.6,0,0,0,25.8,174.25,33.7,9.9,7.6,67.34,Clear
Abilene,03/30/2019,67.7,42.4,52.2,37.4,,0,0,0,27.8,132.75,39,9.9,40.4,59.07,Partially cloudy
Abilene,03/31/2019,52.8,34.2,43.5,27.3,,0,0,0,16.1,31.42,21.9,9.9,4.8,48.86,Clear
Abilene,04/01/2019,61.8,41.1,50.2,39.1,,0,0,0,10,162.54,19.7,9.9,39.1,43.17,Partially cloudy
Abilene,04/02/2019,73.2,43.5,58.7,38.9,,0,0,0,20.3,172.54,29.7,9.9,0,40.39,Clear
Abilene,04/03/2019,75,54.1,63.6,,,0,0,0,27,168.33,38.5,9.9,40.5,60.89,Partially cloudy
Abilene,04/04/2019,79.6,60.3,69,,,0,0,0,21.9,192.58,33.5,9.9,2.3,57.26,Clear
Abilene,04/05/2019,82.7,53.7,69.4,,81.3,0,0,0,20.6,138,33.3,9.3,6.7,62.91,Clear
